acc_S, tp = 0, ts = 0, a = 10
acc_S, tp = 1, ts = 0, a = 90
mgr_S, tp = 298, ts = 9, m = 5, a = 66
mgr_S, tp = 299, ts = 9, m = 5, a = 86
mgr_S, tp = 300, ts = 9, m = 6, a = 58
mgr_S, tp = 301, ts = 9, m = 6, a = 80
mgr_S, tp = 302, ts = 9, m = 6, a = 88
mgr_S, tp = 303, ts = 9, m = 7, a = 22
mgr_S, tp = 304, ts = 9, m = 7, a = 48
mgr_S, tp = 305, ts = 9, m = 7, a = 68
mgr_S, tp = 306, ts = 9, m = 7, a = 94
mgr_S, tp = 307, ts = 9, m = 8, a = 30
mgr_S, tp = 308, ts = 9, m = 8, a = 84
mgr_S, tp = 309, ts = 9, m = 9, a = 32
mgr_S, tp = 310, ts = 9, m = 9, a = 52
mgr_S, tp = 311, ts = 9, m = 9, a = 76
mgr_S, tp = 312, ts = 9, m = 9, a = 92
mgr_S, tp = 313, ts = 9, m = 10, a = 31
mgr_S, tp = 314, ts = 9, m = 10, a = 40
mgr_S, tp = 315, ts = 9, m = 10, a = 99
acc_S, tp = 316, ts = 10, a = 98
mgr_S, tp = 317, ts = 10, m = 0, a = 16
mgr_S, tp = 318, ts = 10, m = 1, a = 52
mgr_S, tp = 319, ts = 10, m = 2, a = 38
mgr_S, tp = 320, ts = 10, m = 2, a = 98
mgr_S, tp = 321, ts = 10, m = 3, a = 20
mgr_S, tp = 322, ts = 10, m = 3, a = 26
mgr_S, tp = 323, ts = 10, m = 3, a = 36
mgr_S, tp = 324, ts = 10, m = 3, a = 38
mgr_S, tp = 325, ts = 10, m = 3, a = 64
mgr_S, tp = 326, ts = 10, m = 4, a = 6
mgr_S, tp = 327, ts = 10, m = 4, a = 36
mgr_S, tp = 328, ts = 10, m = 4, a = 56
mgr_S, tp = 329, ts = 10, m = 4, a = 58
mgr_S, tp = 330, ts = 10, m = 4, a = 76
mgr_S, tp = 331, ts = 10, m = 4, a = 80
mgr_S, tp = 332, ts = 10, m = 5, a = 60
mgr_S, tp = 333, ts = 10, m = 5, a = 96
mgr_S, tp = 334, ts = 10, m = 6, a = 36
mgr_S, tp = 335, ts = 10, m = 6, a = 94
mgr_S, tp = 336, ts = 10, m = 7, a = 20
mgr_S, tp = 337, ts = 10, m = 7, a = 84
mgr_S, tp = 338, ts = 10, m = 8, a = 10
mgr_S, tp = 339, ts = 10, m = 8, a = 22
mgr_S, tp = 340, ts = 10, m = 8, a = 24
mgr_S, tp = 341, ts = 10, m = 8, a = 50
mgr_S, tp = 342, ts = 10, m = 8, a = 52
mgr_S, tp = 343, ts = 10, m = 9, a = 6
mgr_S, tp = 344, ts = 10, m = 9, a = 72
mgr_S, tp = 345, ts = 10, m = 10, a = 23
mgr_S, tp = 346, ts = 10, m = 10, a = 49
mgr_S, tp = 347, ts = 10, m = 10, a = 60
mgr_S, tp = 348, ts = 10, m = 10, a = 70
mgr_S, tp = 349, ts = 10, m = 10, a = 73
acc_S, tp = 350, ts = 11, a = 12
acc_S, tp = 351, ts = 11, a = 32
acc_S, tp = 352, ts = 11, a = 46
acc_S, tp = 353, ts = 11, a = 54
mgr_S, tp = 354, ts = 11, m = 1, a = 14
mgr_S, tp = 355, ts = 11, m = 1, a = 48
mgr_S, tp = 356, ts = 11, m = 1, a = 66
mgr_S, tp = 357, ts = 11, m = 1, a = 84
mgr_S, tp = 358, ts = 11, m = 2, a = 76
mgr_S, tp = 359, ts = 11, m = 2, a = 82
mgr_S, tp = 360, ts = 11, m = 3, a = 0
mgr_S, tp = 361, ts = 11, m = 3, a = 46
mgr_S, tp = 362, ts = 11, m = 3, a = 70
mgr_S, tp = 363, ts = 11, m = 3, a = 78
mgr_S, tp = 364, ts = 11, m = 3, a = 96
mgr_S, tp = 365, ts = 11, m = 4, a = 14
mgr_S, tp = 366, ts = 11, m = 4, a = 28
mgr_S, tp = 367, ts = 11, m = 5, a = 42
mgr_S, tp = 368, ts = 11, m = 5, a = 62
mgr_S, tp = 369, ts = 11, m = 5, a = 64
mgr_S, tp = 370, ts = 11, m = 5, a = 92
mgr_S, tp = 371, ts = 11, m = 6, a = 44
mgr_S, tp = 372, ts = 11, m = 6, a = 60
mgr_S, tp = 373, ts = 11, m = 7, a = 30
mgr_S, tp = 374, ts = 11, m = 7, a = 66
mgr_S, tp = 375, ts = 11, m = 8, a = 16
mgr_S, tp = 376, ts = 11, m = 8, a = 70
mgr_S, tp = 377, ts = 11, m = 8, a = 94
mgr_S, tp = 378, ts = 11, m = 9, a = 2
mgr_S, tp = 379, ts = 11, m = 9, a = 70
mgr_S, tp = 380, ts = 11, m = 10, a = 8
mgr_S, tp = 381, ts = 11, m = 10, a = 16
mgr_S, tp = 382, ts = 11, m = 10, a = 27
mgr_S, tp = 383, ts = 11, m = 10, a = 36
mgr_S, tp = 384, ts = 11, m = 10, a = 52
mgr_S, tp = 385, ts = 11, m = 10, a = 63
mgr_S, tp = 386, ts = 11, m = 10, a = 92
acc_S, tp = 387, ts = 12, a = 40
acc_S, tp = 388, ts = 12, a = 80
mgr_S, tp = 389, ts = 12, m = 0, a = 60
mgr_S, tp = 390, ts = 12, m = 0, a = 64
mgr_S, tp = 391, ts = 12, m = 0, a = 70
mgr_S, tp = 392, ts = 12, m = 1, a = 62
mgr_S, tp = 393, ts = 12, m = 1, a = 96
mgr_S, tp = 394, ts = 12, m = 2, a = 12
mgr_S, tp = 395, ts = 12, m = 2, a = 42
mgr_S, tp = 396, ts = 12, m = 4, a = 16
mgr_S, tp = 397, ts = 12, m = 4, a = 92
mgr_S, tp = 398, ts = 12, m = 6, a = 38
mgr_S, tp = 399, ts = 12, m = 6, a = 54
mgr_S, tp = 400, ts = 12, m = 6, a = 84
mgr_S, tp = 401, ts = 12, m = 6, a = 90
mgr_S, tp = 402, ts = 12, m = 7, a = 80
mgr_S, tp = 403, ts = 12, m = 7, a = 96
mgr_S, tp = 404, ts = 12, m = 8, a = 34
mgr_S, tp = 405, ts = 12, m = 8, a = 44
mgr_S, tp = 406, ts = 12, m = 8, a = 56
mgr_S, tp = 407, ts = 12, m = 9, a = 0
mgr_S, tp = 408, ts = 12, m = 9, a = 62
mgr_S, tp = 409, ts = 12, m = 9, a = 64
mgr_S, tp = 410, ts = 12, m = 9, a = 86
mgr_S, tp = 411, ts = 12, m = 10, a = 18
mgr_S, tp = 412, ts = 12, m = 10, a = 66
mgr_S, tp = 413, ts = 12, m = 10, a = 74
mgr_S, tp = 414, ts = 12, m = 10, a = 83
acc_S, tp = 415, ts = 13, a = 50
acc_S, tp = 416, ts = 13, a = 62
mgr_S, tp = 417, ts = 13, m = 0, a = 40
mgr_S, tp = 418, ts = 13, m = 1, a = 60
mgr_S, tp = 419, ts = 13, m = 1, a = 70
mgr_S, tp = 420, ts = 13, m = 2, a = 28
mgr_S, tp = 421, ts = 13, m = 2, a = 68
mgr_S, tp = 422, ts = 13, m = 2, a = 84
mgr_S, tp = 423, ts = 13, m = 3, a = 98
mgr_S, tp = 424, ts = 13, m = 4, a = 30
mgr_S, tp = 425, ts = 13, m = 5, a = 26
mgr_S, tp = 426, ts = 13, m = 5, a = 76
mgr_S, tp = 427, ts = 13, m = 5, a = 90
mgr_S, tp = 428, ts = 13, m = 6, a = 42
mgr_S, tp = 429, ts = 13, m = 6, a = 52
mgr_S, tp = 430, ts = 13, m = 7, a = 6
mgr_S, tp = 431, ts = 13, m = 7, a = 74
mgr_S, tp = 432, ts = 13, m = 8, a = 6
mgr_S, tp = 433, ts = 13, m = 9, a = 50
mgr_S, tp = 434, ts = 13, m = 10, a = 5
mgr_S, tp = 435, ts = 13, m = 10, a = 17
mgr_S, tp = 436, ts = 13, m = 10, a = 30
acc_S, tp = 437, ts = 14, a = 20
acc_S, tp = 438, ts = 14, a = 24
acc_S, tp = 439, ts = 14, a = 60
mgr_S, tp = 440, ts = 14, m = 1, a = 36
mgr_S, tp = 441, ts = 14, m = 1, a = 54
mgr_S, tp = 442, ts = 14, m = 1, a = 68
mgr_S, tp = 443, ts = 14, m = 2, a = 10
mgr_S, tp = 444, ts = 14, m = 2, a = 48
mgr_S, tp = 445, ts = 14, m = 2, a = 52
mgr_S, tp = 446, ts = 14, m = 2, a = 72
mgr_S, tp = 447, ts = 14, m = 3, a = 18
mgr_S, tp = 448, ts = 14, m = 3, a = 48
mgr_S, tp = 449, ts = 14, m = 3, a = 74
mgr_S, tp = 450, ts = 14, m = 3, a = 88
mgr_S, tp = 451, ts = 14, m = 4, a = 46
mgr_S, tp = 452, ts = 14, m = 5, a = 68
mgr_S, tp = 453, ts = 14, m = 5, a = 94
mgr_S, tp = 454, ts = 14, m = 6, a = 62
mgr_S, tp = 455, ts = 14, m = 6, a = 78
mgr_S, tp = 456, ts = 14, m = 7, a = 24
mgr_S, tp = 457, ts = 14, m = 7, a = 46
mgr_S, tp = 458, ts = 14, m = 7, a = 76
mgr_S, tp = 459, ts = 14, m = 7, a = 82
mgr_S, tp = 460, ts = 14, m = 8, a = 38
mgr_S, tp = 461, ts = 14, m = 9, a = 20
mgr_S, tp = 462, ts = 14, m = 10, a = 14
mgr_S, tp = 463, ts = 14, m = 10, a = 25
mgr_S, tp = 464, ts = 14, m = 10, a = 67
mgr_S, tp = 465, ts = 14, m = 10, a = 71
mgr_S, tp = 466, ts = 14, m = 10, a = 75
mgr_S, tp = 467, ts = 14, m = 10, a = 85
mgr_S, tp = 468, ts = 14, m = 10, a = 93
acc_S, tp = 469, ts = 15, a = 36
acc_S, tp = 470, ts = 15, a = 58
mgr_S, tp = 471, ts = 15, m = 0, a = 72
mgr_S, tp = 472, ts = 15, m = 1, a = 38
mgr_S, tp = 473, ts = 15, m = 1, a = 80
mgr_S, tp = 474, ts = 15, m = 2, a = 92
mgr_S, tp = 475, ts = 15, m = 3, a = 4
mgr_S, tp = 476, ts = 15, m = 3, a = 22
mgr_S, tp = 477, ts = 15, m = 3, a = 44
mgr_S, tp = 478, ts = 15, m = 3, a = 72
mgr_S, tp = 479, ts = 15, m = 4, a = 44
mgr_S, tp = 480, ts = 15, m = 4, a = 62
mgr_S, tp = 481, ts = 15, m = 5, a = 32
mgr_S, tp = 482, ts = 15, m = 5, a = 48
mgr_S, tp = 483, ts = 15, m = 5, a = 84
mgr_S, tp = 484, ts = 15, m = 6, a = 50
mgr_S, tp = 485, ts = 15, m = 6, a = 96
mgr_S, tp = 486, ts = 15, m = 7, a = 38
mgr_S, tp = 487, ts = 15, m = 7, a = 56
mgr_S, tp = 488, ts = 15, m = 7, a = 88
mgr_S, tp = 489, ts = 15, m = 8, a = 8
mgr_S, tp = 490, ts = 15, m = 8, a = 72
mgr_S, tp = 491, ts = 15, m = 8, a = 80
mgr_S, tp = 492, ts = 15, m = 9, a = 14
mgr_S, tp = 493, ts = 15, m = 9, a = 24
mgr_S, tp = 494, ts = 15, m = 9, a = 58
mgr_S, tp = 495, ts = 15, m = 9, a = 66
mgr_S, tp = 496, ts = 15, m = 10, a = 1
mgr_S, tp = 497, ts = 15, m = 10, a = 2
mgr_S, tp = 498, ts = 15, m = 10, a = 7
mgr_S, tp = 499, ts = 15, m = 10, a = 9
mgr_S, tp = 500, ts = 15, m = 10, a = 41
mgr_S, tp = 501, ts = 15, m = 10, a = 86
mgr_S, tp = 502, ts = 15, m = 10, a = 94
mgr_S, tp = 503, ts = 15, m = 10, a = 97
acc_S, tp = 504, ts = 16, a = 70
mgr_S, tp = 505, ts = 16, m = 0, a = 6
